userid,title,estatetype,address,ward,district,city,area,price,description,roomnum,restroom,electricity,water,wifi,ultility,rented,created,updated,expired
1,"Bán nhà Thạch Bàn 4 tầng, DT 31m2, ô tô đỗ sát cửa",1,Tổ 16 Thạch Bàn,Phường Thạch Bàn,Quận Long Biên,Hà Nội,31.0,190000.0,"Bán nhà Thạch Bàn 4 tầng, DT 31m2, ô tô đỗ sát cửa. Giá 1.9 tỷ.
+ Diện tích 31m2. Mặt tiền 3.8m, hướng tây nam.
+ Ngõ trước nhà 2.5m, cách 10m ra đường ô tô.
+ Nhà xây dựng được gần 4 năm, thiết kế 3 phòng ngủ, 4WC, phòng thờ, sân phơi.
+ Vị trí cách chợ Đồng Dinh 300m, ra QL5, May 10, Thạch Bàn chỉ 500m.
+ Bán kính 500m xung quanh đầy đủ trường học các cấp thạch bàn.
+ Sổ đỏ chính chủ, không tranh chấp, quy hoạch, công chứng trong ngày.
Hỗ trợ vay ngân hàng 80% giá trị căn nhà, trả góp từ 5 - 30 năm.
Liên hệ: Mr. Tùng 0912 017 115 để đi xem nhà trực tiếp và miễn phí.",2,chung,2000,8000,Có là được,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-03 21:44:00.231969
2,"Đất sổ đỏ 44.5m2 phường Phú Lương, Hà Đông",0,Đường Trinh Lương,Phường Phú Lương,Quận Hà Đông,Hà Nội,44.5,151500.0,"Dự án: Bán 44,5 m2 đất ở phường Phú Lương, Hà Đông.
          Thông tin chi tiết: Bán đất sổ đỏ chính chủ tại phường Phú Lương, Hà Đông. Giá 1,515 tỷ.
- Diện tích; 44.5m2, 
- Mặt tiền 3.62m, 
- Ngõ trước - thông, rộng 2m.
- Cách đường ô tô 14m.
- Vị trí : Cách khu đất đấu giá Phú Lương 250m, gần các tiện ích trường mầm non, tiểu học, chợ Bắc Lãm (dưới 500m)
Ra quốc lộ 21B khoảng 500m.",3,riêng,2000,11000,Có là được,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-17 21:44:00.231969
2,Bán căn hộ đẹp tại Sunshine palace,3,Đường Lĩnh Nam,Phường Mai Động,Quận Hoàng Mai,Hà Nội,90.0,280000.0,"Gia đình cần chuyển nhượng lại căn hộ 2 phòng ngủ full nội thất như hình tại chung cư Sunshine Palace liền kề Time City
  Căn hộ 2 phòng ngủ, 1 phòng khách, 1 phòng bếp riêng biệt, 2 ban công.
  Diện tích 90m2. 
  Tầng 15, view ra Park hill và cầu thanh trì. 
  Căn hộ đc thiết kế tỉ mỉ như hình. 
  Giá bán 2ty8 bao mọi thuế phí sang tên. 
  Căn hộ là chung cư cao cấp nên rất nhiều tiện ích đi kèm.",1,riêng,2000,9000,Có là được,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-16 21:44:00.231969
1,"Mặt Phố Hoa Lâm, Kinh Doanh Đỉnh, 52m, Nhỉnh 6Tỷ",1,Đường Hoa Lâm,Phường Việt Hưng,Quận Long Biên,Hà Nội,52.0,650000.0,"+ Siêu Phẩm Mặt Phố Kinh Doanh Hoa Lâm, Hiếm Có Khó Tìm Trong Tầm Tiền.
+ Khu Vực Rất Hiếm Nhà Bán, Ngày Càng Phát Triển.

+ Mô Tả:
- Phố Hoa Lâm kinh doanh sầm uất ngày đêm, nhà vị trí thoáng, đẹp tiện ích quá nhiều, Trường mầm non Hoa Quỳnh, Tiểu học Việt Hưng, Bệnh viện Đức Giang, gần các KĐT lớn Việt Hưng, Vinhomes Reverside, chợ Việt Hưng, BigC Long Biên cách 0,5 km.

+ Nhà chủ tự xây rất chắc chắn, khách chỉ việc dọn về ở và kinh doanh.

+ Thiết kế:
- Tầng 1: Kinh doanh, Phòng khách, bếp, WC.
- Tầng 2: 2, 3 mỗi tầng 2 phòng ngủ + WC.
- Tầng 4: Phòng thờ, sân phơi.

+ Sổ đỏ đẹp, vuông như tờ A4, giao dịch nhanh chóng.

+ Vui lòng liên hệ Mr Mạnh để được tư vấn và xem nhà miễn phí.",2,riêng,2000,11000,Ổn định,Gần trại giam,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-12 21:44:00.231969
2,"Bán Đại Từ, Hoàng Mai 40m2*4T, MT3.5m, 3.1 tỷ.",3,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,Hà Nội,40.0,310000.0,"+ Vị trí nhà gần ngay ngã 3 vô cùng thoáng, ngõ to ô tô 7 chỗ, kinh doanh sầm uất nhất Phố Đại từ. 
+ Hưởng trọn tiện ích KĐT  Đại Kim, AEON Hoàng Mai, KĐT Linh Đàm, gần chợ, trường học, siêu thị các loại.
+ Nhà còn mới đẹp, xây cực kỳ chắc chắn. Thiết kế tầng 2 phòng, nhà vệ sinh giữa công năng rất hợp lý. 
+ Tổng 4 phòng ngủ, 3 nhà vệ sinh, phòng khách, phòng thờ, sân phơi...
+ Sổ đỏ nở hậu, sẵn sàng giao dịch.
- Liên hệ:  0378.197.866 (Miễn tiếp trung gian và MG)",4,chung,2000,11000,natB,Bến xe bus,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-05 21:44:00.231969
1,Bán căn hộ chung cư cao cấp An Bình city,3,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,73.0,320000.0,"💥💥💥TUYỆT PHẨM NHÀ ĐẸP - XEM LÀ MÊ 

* Mô tả:
+ Chung cư An Bình nằm trên đường Phạm Văn Đồng, gần bộ CA, diện tích 73m, thiết kế 2PN, 2 WC, 1 bếp, 1 khách.
+ Cửa hướng B, ban công hướng N.
+ Thiết kế cực đẹp, nội thất cao cấp.
+ Chủ nhà thỉnh thoảng mới qua nghỉ lại chốc lát nên nhà còn rất mới.
+ Sổ đỏ chính chủ.
+ Giá bán 3.2 tỷ. Tặng full nội thất.",1,không có,3000,11000,natD, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-29 21:44:00.231969
1,"Bán Nhà 5 Tầng Cổ Linh - Thạch Bàn, Cạnh Aeon Mall",1,Đường Cổ Linh,Phường Thạch Bàn,Quận Long Biên,Hà Nội,32.0,255000.0,"Bán Nhà 5 Tầng Ngã 4 Cổ Linh - Thạch Bàn, Cách 1 Nhà Nhìn Ra Đường Cổ Linh, Aeon mall.
- Diện tích 32.5m2, Mặt tiền 4m, Lô Góc 2 mặt thoáng, Có đủ 2 hướng là Đông nam và Tây bắc.
- Ngõ trước 3m, Cách 100m ra ngã tư cổ linh - thạch bàn.
- Vị trí nhà tại tổ 6 thạch bàn, cách chợ thạch bàn, Aeon mall long biên chỉ hơn 300m, đối diện trường mầm non hoa mai, UBND phường thạch bàn.
- Nhà thiết kế 5 tầng, có 3 phòng ngủ, 1 phòng khách, bếp, sân phơi, phòng thờ riêng biệt.
- Bán Kính 500m đầy đủ tiện ích, trường học các cấp thạch bàn. Lên cầu vĩnh tuy chỉ 5p.
Giá 2.55 Tỷ (có thương lượng) - Bao toàn bộ phí sang tên.
Liên hệ: Mr Tùng 0912 017 115 để đi xem nhà trực tiếp và miễn phí",2,không có,2000,11000,natD,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-15 21:44:00.231969
1,Chung cư Bright City 69m² 2PN cần bán nhanh,3,Đường Quốc lộ 32,Xã Kim Chung,Huyện Hoài Đức,Hà Nội,69.0,115000.0,"Tôi cần bán CHCC số 2310 thuộc tòa thương mại A1.2  Thuộc khu Bright City cạnh đường 32. Dt 69m2, 2pn, pk, vệ sinh, ban công đông nam. Dự án này đã bàn giao, dân cư về ở đông. Giao thông về trung tâm vô cùng thuận lợi. Gần  nhiều trường Đại học. Hoài Đức sắp lên quận, hạ tầng đầu tư lớn.
Tôi cần gom tiền mua nhà cho con ở Tp Hcm nên cần bán nhanh.
Giá hữu nghị 16,5 tr/m2.",1,không có,2000,8000,natB,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-19 21:44:00.231969
2,"Bán nhà ngõ Gốc Đề, Minh Khai, Hà Nội S=37.1m2, SĐ",1,Đường Ngõ Gốc Đề,Phường Hoàng Văn Thụ,Quận Hoàng Mai,Hà Nội,37.1,295000.0,"Dự án: Bán nhà ngõ Gốc Đề, Minh Khai, Hà Nội S=37.1m2, SĐCC.
          Thông tin chi tiết: Chính chủ cần bán gấp Nhà diện tích S = 37.1m2 tại ngõ Gốc Đề, Minh Khai, Hà Nội
- 4 tầng, 1 phòng thờ, sân phơi, 4 phòng ngủ, 3 WC, phòng khách, bếp đầy đủ.
- Cầu thang, lan can, bếp làm từ gỗ thịt chất lượng.
- Trần thạch cao, đèn led.
- Thiết kế hợp lý có giếng trời, ban công đầy đủ.

Vị trí tại đẹp nhất quận Hoàng Mai giáp với đường Minh Khai, quận Hai Bà Trưng, Hà Nội.
Gia chủ để lại toàn bộ nội thất: Điều hòa, tủ bếp, bàn ăn, giường...
Giá: 2,95 tỷ (có thương lượng).
Bao sang tên sổ đỏ.
Liên hệ ngay để xem nhà miễn phí.",3,không có,2000,10000,Nhanh hơn cách người yêu cũ trở mặt, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-27 21:44:00.231969
1,Chung cư OCT5a-KDT Resco Cổ Nhuế căn 3pn-80m2,3,Đường Phạm Văn Đồng,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,Hà Nội,80.0,198000.0,"Thông tin chi tiết

Chính chủ bán căn hộ tòa nhà OCT5A chung cư Resco, đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, HN. Nhà ở xây dựng cho cán bộ, nhân viên cơ quan các ban Đảng, thành ủy và HĐND TP. Hà Nội nên công trình rất đảm bảo chất lượng.

Diện tích thông thủy 80 m2, được thiết kế có 3 phòng ngủ, 2 nhà vệ sinh, 1 phòng khách + 1 khu bếp. Cửa hướng chính Bắc, logia hướng Nam, là căn đón gió Nam vào nhà.


- An ninh tốt, ra vào bằng thẻ từ, camera an ninh giám sát 24/24 (cả trong thang máy), cách trụ sở CA phường Cổ Nhuế 2 200m.

- Khu nhà có bể vầy cho trẻ em, dưới chân tòa nhà có siêu thị, trường mầm non, có khuôn viên tập thể thao; gần trường THCS Cổ Nhuế 2, đối diện công viên Hòa Bình... Giao thông rất thuận lợi, đối diện công viên Hòa Bình (có hồ điều hòa), gần bến xe Nam Thăng Long, đường Phạm Văn Đồng đang mở rộng, thuận tiện ra sân bay, vào trung tâm thành phố, đường Nguyễn Văn Huyên kéo dài sắp thông đường...

- Sổ đỏ chính chủ vĩnh viễn, không phải loại 50 năm.

- Giá bán 1.98 tỷ

LH: 0944.63.9933",1,không có,2000,11000,Nhanh hơn cách người yêu cũ trở mặt,Gần trại giam,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-24 21:44:00.231969
2,"Bán nhà Hoàng Quốc Việt,DT39M,5T,Nhỉnh 3,95 tỷ.",1,Đường Hoàng Quốc Việt,Phường Nghĩa Tân,Quận Cầu Giấy,Hà Nội,39.0,395000.0,"Nhà cách MP Hoàng Quốc Việt 100M, vỉa hè rộng thênh thang oto để thoải mái. Nhà thiết kế xây 5 tầng, tầng 1 để xem,phòng khách,bếp,vệ sinh.Tầng 2,3,4 mỗi tầng 1 phòng ngủ, tầng 5 phòng thờ sân phơi.Nhà đẹp, an sinh tốt.Sổ đỏ chính chủ.LH mr hiền.",1,chung,2000,8000,Nhanh hơn cách người yêu cũ trở mặt,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-21 21:44:00.231969
1,mảnh đất 60m2 vuông vắn đường oto tránh nhau,0,Đường Dân Sinh,Thị trấn Quang Minh,Huyện Mê Linh,Hà Nội,60.0,150000.0,"Gia đình cần bán lô đất 60m2 tại tổ 10 thị trấn Quang Minh, Mê Linh, Hà Nội,
Diện tích60m2, mặt tiền hậu 4.5m vuông vắn, đường hơn 5m nằm trên trục chính của làng, ô tô tránh nhau, đầu tư hay để ở đều đẹp

- Vị trí đắc địa ngay sát khu công nghiệp Quang Minh 2 sắp khởi công. 
cách đường 24m trục vào khu công nghiệp quang minh giai đoạn 2 100m.
- Cách chợ 250m
- Cách đường trục chính Mê Linh rộng 100m2 chỉ 500m.
- Cách sân bay nội bài 15p.
- Gần ngay công viên truyền thông 15p đi xe.
- Sát ngay khu công nghiệp quang minh, 5p đi xe.
- Gần khu công nghiệp bắc Thăng Long nội bài chỉ 15p đi xe.
- Gần biệt thự hoa hồng, khu đô thị hà phong, Cienco5.
- Cách cầu Thăng Long 15p.
- Di chuyển vào Cầu Giấy chỉ 25p.

Mảnh đất đẹp tiềm năng sinh lời cao.
Pháp lý chính chủ sẵn sàng
KHông tiếp môi giới,  LH O chín tam tam chin bon hai bay chin nam",1,riêng,2000,11000,Có là được,Gần hơn người yêu bạn,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-20 21:44:00.231969
2,Bán nhà siêu rẻ 750 triệu,3,Đường Thượng Đình,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,30.0,250000.0,"Bán nhà cc mini giá siêu rẻ, siêu xinh, 30m , nằm ngay mặt đường , dc 22 thượng đình , giá yêu thương cho những đôi yêu nhau 750 triệu , sổ Hồng đầy đủ, bao công chứng sang tên, full nôi thất vào chỉ việc ở",3,riêng,3000,11000,Ổn định,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-03 21:44:00.231969
2,"Bán đất sổ đỏ chính chủ 52,3m xóm 4 hải bối",0,Xóm 4 Hải Bối,Xã Hải Bối,Huyện Đông Anh,Hà Nội,52.3,270000.0,"Gia đình có việc lên cần bán mảnh đất sổ đỏ chính chủ,pháp lý sạch rõ ràng .Giao thông thuận tiện đi cầu nhật tân và cầu thăng long.kt 52,3m2 .mt 5,23m.sâu 10,2m.ngõ vào gần 4m.đến tận sát mảnh đất.đường trước đất là 2,7m.Địa chỉ tại xóm 4 thôn hải bối ,giá hợp lý.Ace có nhu cầu liên hệ em Trung để xem đất và giá ạ.",4,không có,2000,10000,natB,hasagi,1,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-18 21:44:00.231969
2,Nhà Đặng Văn Ngữ 33m²,1,Đường Xã Đàn,Phường Kim Liên,Quận Đống Đa,Hà Nội,33.0,340000.0,"Bán nhà ngõ 6/31/5 Đặng Văn Ngữ, Xã Đàn. Gần Hồ Đắc Di. Khu chia lô có cổng cửa sân trước sau. Nhà khung bê tông kiên cố xây kiểu biệt thự liền kề. Thiết kế hiện đại. 33mx4,5 tầng. Hướng Tây Nam. Sổ đỏ chính chủ.",2,chung,3000,8000,Ổn định, gần BV tâm thần kinh,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-07-02 21:44:00.231969
2,Cần bán nhà mặt ngõ 179 Vĩnh hưng,1,Đường Tân Khai,Phường Vĩnh Hưng,Quận Hoàng Mai,Hà Nội,25.0,650000.0,"Gia đình cần bán nhà ngõ 179 Vĩnh Hưng , ngõ 5m trước cửa nhà thông tứ tung oto đi lại , xe nhỏ như kia morning lùi vào thoải mái . hiện trạng đang là nhà cấp 4 gác xép . Xung quanh là khu dân cư ổn định , hàng xóm đã xây nhà cao tầng gần đó . nhà đóng thuế đất đầy đủ .
cần tiền gấp nên bán lỗ với giá 650tr",1,không có,2000,9000,Ổn định,Gần hơn người yêu bạn,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-26 21:44:00.231969
2,Bán nhà riêng Lạc Long Quân - DT 54m2 - 4.79tỷ,1,Đường Lạc Long Quân,Phường Nghĩa Đô,Quận Cầu Giấy,Hà Nội,54.0,47900.0,"Chính chủ ở đất vượng, khu vực an toàn yên tĩnh bao năm, nay thay đổi mục đích muốn chuyển nhà mặt ngõ kinh doanh nên đành bán căn nhà bao tâm huyết:
+ Vị trí: Nằm trong ngõ 89 Lạc long Quân, 30m ra đường vành đai 2 và Võ chí Công, 100m ra hồ tây. 
+ Nhà sát đường to 2 ô tô tránh nhau thoải mái. Xe ba gác vào nhà.

+ Thiết kế 5 tầng 5 ngủ khép kín, vệ sinh trong phòng.
Phòng khách đẩy xuống tầng 1 và cải tạo phòng thờ, phòng máy giặt thì có luôn 7 ngủ, có thể cho thuê.
+ Nhà thiết kế chắc chắn, hiện đại.

+ Đối diện cửa không có nhà xung quanh, không xung năng lượng, hiếm có.

+ Chủ mua khung nhà mới 100 triệu/m2 từ 2013 là 5.35 tỷ, cộng 400 triệu tu sửa tuy nhiên muốn bán gấp với giá để đầu tư kinh doanh.

+ Sổ đỏ chính chủ.",3,không có,3000,11000,Có là được,Gần trại giam,0,2021-04-29 21:44:00.230977,2021-04-29 21:44:00.231969,2021-06-17 21:44:00.231969
